TH	s1/2	d3/2
0	30.621	6.206
1	29.252	6.073
2	25.424	5.715
3	19.901	5.233
4	13.739	4.759
5	8.026	4.408
6	3.634	4.241
7	1.046	4.249
8	0.297	4.357
9	1.035	4.452
10	2.659	4.422
11	4.506	4.188
12	6.009	3.730
13	6.809	3.090
14	6.792	2.357
15	6.062	1.640
16	4.866	1.040
17	3.504	0.629
18	2.249	0.431
19	1.288	0.428
20	0.702	0.565
21	0.475	0.772
22	0.520	0.978
23	0.718	1.128
24	0.952	1.190
25	1.132	1.159
26	1.209	1.051
27	1.171	0.897
28	1.039	0.732
29	0.851	0.586
30	0.647	0.481
31	0.462	0.424
32	0.316	0.413
33	0.218	0.437
34	0.162	0.478
35	0.138	0.521
36	0.130	0.552
37	0.127	0.562
38	0.120	0.548
39	0.107	0.511
40	0.089	0.457
41	0.072	0.394
42	0.059	0.329
43	0.057	0.269
44	0.067	0.218
45	0.088	0.177
46	0.119	0.148
47	0.155	0.128
48	0.190	0.115
49	0.220	0.106
50	0.240	0.101
51	0.250	0.096
52	0.248	0.091
53	0.237	0.085
54	0.217	0.080
55	0.192	0.075
56	0.166	0.070
57	0.141	0.066
58	0.119	0.064
59	0.102	0.062
60	0.089	0.061
61	0.082	0.061
62	0.078	0.061
63	0.076	0.060
64	0.076	0.059
65	0.076	0.057
66	0.076	0.056
67	0.075	0.054
68	0.072	0.052
69	0.067	0.051
70	0.062	0.050
71	0.055	0.049
72	0.049	0.049
73	0.042	0.049
74	0.036	0.050
75	0.030	0.050
76	0.026	0.051
77	0.022	0.051
78	0.019	0.051
79	0.017	0.050
80	0.015	0.049
81	0.015	0.047
82	0.014	0.045
83	0.013	0.043
84	0.013	0.040
85	0.012	0.038
86	0.012	0.036
87	0.011	0.034
88	0.010	0.032
89	0.010	0.030
90	0.009	0.029
