# C15d dE/dx gain-match factors, measured from this analysis's own PID plane
# anchor      : most-probable dEdx for valid tracks with brho in [0.3,0.4] T*m
# reference   : 385.738 (statistics-weighted pooled peak)
# estimator   : interquartile truncated mean
# run range   : 13-133
# min tracks  : 200 per run; thinner runs are interpolated in run number
# apply       : dEdx *= factor, sqrt_dEdx *= sqrt(factor)
run,factor,source,peak,ntracks
-1,0.544361,held,-1,0
13,0.544361,held,-1,87
14,0.544361,measured,708.608,1901
15,0.5788,measured,666.445,2938
16,0.588018,measured,655.997,879
17,0.627234,measured,614.983,3199
18,0.648864,measured,594.483,3724
19,0.675045,measured,571.426,941
20,0.6844,interp,-1,27
21,0.693756,interp,-1,21
22,0.703111,measured,548.616,1365
23,0.707306,measured,545.363,1809
24,0.730808,measured,527.824,2185
26,0.743714,measured,518.664,3083
27,0.761021,measured,506.869,3186
28,0.778489,measured,495.496,3257
29,0.782043,measured,493.244,2495
30,0.797619,measured,483.612,1752
31,0.812114,measured,474.981,2177
32,0.82206,measured,469.234,3215
33,0.838464,measured,460.053,3384
34,0.860528,measured,448.258,3097
35,0.860124,measured,448.468,4135
36,0.883014,measured,436.843,1150
37,0.877017,measured,439.83,3832
38,0.912057,measured,422.932,1358
39,0.904534,measured,426.45,3936
40,0.920272,measured,419.157,1198
42,0.895286,measured,430.855,2861
43,0.931605,measured,414.058,2405
44,0.931326,measured,414.182,2709
49,0.937071,measured,411.642,4521
50,0.969965,measured,397.683,4186
51,0.961694,measured,401.103,2800
52,0.974536,measured,395.817,3600
53,0.984351,measured,391.871,2124
54,0.988187,measured,390.349,699
55,0.987573,measured,390.592,3479
56,1.0041,measured,384.162,1172
58,1.02178,measured,377.516,3214
59,0.999756,measured,385.832,285
60,1.0089,interp,-1,160
61,1.01805,measured,378.9,3226
62,1.02987,measured,374.552,3309
63,1.02902,measured,374.861,3522
64,1.03939,measured,371.119,3423
65,1.05933,measured,364.134,2605
66,1.04563,measured,368.906,3185
67,1.0507,measured,367.126,2962
68,1.05169,measured,366.778,4529
69,1.05881,measured,364.311,3359
70,1.06928,measured,360.744,3106
71,1.07159,measured,359.97,3012
72,1.0737,measured,359.26,2949
73,1.0765,measured,358.326,1831
74,1.09728,measured,351.54,2875
75,1.09728,measured,351.542,3058
81,1.13501,measured,339.856,2026
82,1.12572,measured,342.661,2541
83,1.12399,measured,343.187,886
84,1.12728,measured,342.184,2756
85,1.12667,measured,342.369,2700
86,1.12235,measured,343.688,2563
87,1.12486,measured,342.92,396
88,1.13766,measured,339.064,539
89,1.15176,measured,334.911,5945
90,1.17522,measured,328.226,2834
96,1.11353,measured,346.41,292
97,1.09416,measured,352.541,340
99,1.13743,measured,339.132,1109
100,1.14239,measured,337.658,3297
101,1.14234,measured,337.674,640
102,1.13736,measured,339.152,4134
103,1.16402,measured,331.386,2214
104,1.15894,measured,332.837,2213
105,1.13715,measured,339.216,442
106,1.19705,measured,322.241,693
107,1.1695,measured,329.832,2236
108,1.17346,measured,328.718,738
109,1.18797,measured,324.703,2425
110,1.19319,measured,323.283,1590
111,1.18649,measured,325.108,2080
112,1.20024,measured,321.383,1916
113,1.18272,measured,326.146,2199
114,1.1873,measured,324.888,1694
115,1.196,interp,-1,33
116,1.2047,measured,320.194,2277
117,1.19574,measured,322.595,2142
118,1.20859,measured,319.164,1916
119,1.19227,measured,323.532,4204
120,1.21506,measured,317.464,4275
121,1.20138,measured,321.08,4868
122,1.23195,measured,313.111,4341
123,1.24267,measured,310.41,4570
124,1.246,measured,309.582,1529
125,1.24819,measured,309.038,4294
126,1.24122,measured,310.773,3310
127,1.23456,measured,312.45,2244
128,1.25591,measured,307.139,2369
129,1.24734,measured,309.248,2052
130,1.25154,measured,308.21,2148
131,1.23346,measured,312.729,4638
132,1.25729,measured,306.802,3932
133,1.2598,measured,306.191,4067
