CATIMA dE/dx table for genfit  (A=1 Z=1 in matA=2.014)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.01 MeV 0.76456 0 2.10536 mm 0.0472126 mm 0 mm
0.0101463 MeV 0.767207 0 2.13403 mm 0.0476897 mm 0 mm
0.0102947 MeV 0.769861 0 2.16302 mm 0.0481709 mm 0 mm
0.0104453 MeV 0.772526 0 2.19234 mm 0.0486562 mm 0 mm
0.0105981 MeV 0.775206 0 2.22198 mm 0.0491458 mm 0 mm
0.0107532 MeV 0.777894 0 2.25195 mm 0.0496396 mm 0 mm
0.0109105 MeV 0.780592 0 2.28225 mm 0.0501377 mm 0 mm
0.0110701 MeV 0.783306 0 2.31289 mm 0.0506402 mm 0 mm
0.0112321 MeV 0.786027 0 2.34388 mm 0.051147 mm 0 mm
0.0113964 MeV 0.788763 0 2.3752 mm 0.0516583 mm 0 mm
0.0115631 MeV 0.791507 0 2.40688 mm 0.052174 mm 0 mm
0.0117323 MeV 0.794262 0 2.4389 mm 0.0526942 mm 0 mm
0.0119039 MeV 0.797032 0 2.47128 mm 0.053219 mm 0 mm
0.012078 MeV 0.79981 0 2.50402 mm 0.0537483 mm 0 mm
0.0122547 MeV 0.802599 0 2.53713 mm 0.0542823 mm 0 mm
0.012434 MeV 0.805404 0 2.5706 mm 0.0548209 mm 0 mm
0.0126159 MeV 0.808216 0 2.60445 mm 0.0553643 mm 0 mm
0.0128005 MeV 0.811044 0 2.63866 mm 0.0559125 mm 0 mm
0.0129877 MeV 0.813879 0 2.67326 mm 0.0564654 mm 0 mm
0.0131777 MeV 0.816725 0 2.70825 mm 0.0570232 mm 0 mm
0.0133705 MeV 0.819588 0 2.74362 mm 0.0575859 mm 0 mm
0.0135661 MeV 0.822458 0 2.77938 mm 0.0581535 mm 0 mm
0.0137646 MeV 0.825343 0 2.81554 mm 0.0587261 mm 0 mm
0.013966 MeV 0.828236 0 2.8521 mm 0.0593037 mm 0 mm
0.0141703 MeV 0.831141 0 2.88906 mm 0.0598865 mm 0 mm
0.0143776 MeV 0.834062 0 2.92644 mm 0.0604743 mm 0 mm
0.0145879 MeV 0.83699 0 2.96423 mm 0.0610674 mm 0 mm
0.0148013 MeV 0.83993 0 3.00244 mm 0.0616656 mm 0 mm
0.0150179 MeV 0.842887 0 3.04107 mm 0.0622691 mm 0 mm
0.0152376 MeV 0.845851 0 3.08012 mm 0.062878 mm 0 mm
0.0154605 MeV 0.848831 0 3.11962 mm 0.0634922 mm 0 mm
0.0156867 MeV 0.851818 0 3.15954 mm 0.0641118 mm 0 mm
0.0159161 MeV 0.854818 0 3.19991 mm 0.064737 mm 0 mm
0.016149 MeV 0.857834 0 3.24073 mm 0.0653676 mm 0 mm
0.0163852 MeV 0.860858 0 3.282 mm 0.0660038 mm 0 mm
0.0166249 MeV 0.863893 0 3.32372 mm 0.0666456 mm 0 mm
0.0168682 MeV 0.866945 0 3.36591 mm 0.0672931 mm 0 mm
0.0171149 MeV 0.870005 0 3.40856 mm 0.0679464 mm 0 mm
0.0173653 MeV 0.873082 0 3.45169 mm 0.0686054 mm 0 mm
0.0176193 MeV 0.876166 0 3.49529 mm 0.0692702 mm 0 mm
0.0178771 MeV 0.879263 0 3.53937 mm 0.069941 mm 0 mm
0.0181386 MeV 0.882376 0 3.58394 mm 0.0706176 mm 0 mm
0.018404 MeV 0.885497 0 3.629 mm 0.0713003 mm 0 mm
0.0186732 MeV 0.88863 0 3.67457 mm 0.071989 mm 0 mm
0.0189464 MeV 0.89178 0 3.72063 mm 0.0726839 mm 0 mm
0.0192236 MeV 0.894939 0 3.7672 mm 0.0733849 mm 0 mm
0.0195048 MeV 0.898114 0 3.81429 mm 0.0740921 mm 0 mm
0.0197902 MeV 0.901297 0 3.8619 mm 0.0748057 mm 0 mm
0.0200797 MeV 0.904492 0 3.91003 mm 0.0755255 mm 0 mm
0.0203734 MeV 0.907705 0 3.9587 mm 0.0762518 mm 0 mm
0.0206715 MeV 0.910926 0 4.0079 mm 0.0769845 mm 0 mm
0.0209739 MeV 0.914158 0 4.05765 mm 0.0777237 mm 0 mm
0.0212807 MeV 0.917408 0 4.10794 mm 0.0784695 mm 0 mm
0.021592 MeV 0.920669 0 4.15879 mm 0.0792219 mm 0 mm
0.0219079 MeV 0.92395 0 4.2102 mm 0.079981 mm 0 mm
0.0222284 MeV 0.927232 0 4.26218 mm 0.0807469 mm 0 mm
0.0225536 MeV 0.930516 0 4.31473 mm 0.0815196 mm 0 mm
0.0228836 MeV 0.933815 0 4.36787 mm 0.0822993 mm 0 mm
0.0232183 MeV 0.937161 0 4.42159 mm 0.0830859 mm 0 mm
0.023558 MeV 0.940563 0 4.47589 mm 0.0838794 mm 0 mm
0.0239026 MeV 0.943937 0 4.5308 mm 0.0846797 mm 0 mm
0.0242523 MeV 0.947144 0 4.58631 mm 0.0854875 mm 0 mm
0.0246071 MeV 0.95021 0 4.64245 mm 0.086303 mm 0 mm
0.0249671 MeV 0.953919 0 4.69921 mm 0.087126 mm 0 mm
0.0253324 MeV 0.95853 0 4.75656 mm 0.0879544 mm 0 mm
0.025703 MeV 0.963867 0 4.81444 mm 0.088786 mm 0 mm
0.026079 MeV 0.969394 0 4.87283 mm 0.0896199 mm 0 mm
0.0264605 MeV 0.975043 0 4.93174 mm 0.0904558 mm 0 mm
0.0268476 MeV 0.980728 0 4.99116 mm 0.0912936 mm 0 mm
0.0272404 MeV 0.986391 0 5.0511 mm 0.0921335 mm 0 mm
0.0276389 MeV 0.992044 0 5.11157 mm 0.0929757 mm 0 mm
0.0280432 MeV 0.99769 0 5.17258 mm 0.0938204 mm 0 mm
0.0284535 MeV 1.00335 0 5.23413 mm 0.0946676 mm 0 mm
0.0288697 MeV 1.00903 0 5.29623 mm 0.0955174 mm 0 mm
0.0292921 MeV 1.0147 0 5.35889 mm 0.0963701 mm 0 mm
0.0297206 MeV 1.02038 0 5.42211 mm 0.0972257 mm 0 mm
0.0301554 MeV 1.02604 0 5.48589 mm 0.0980843 mm 0 mm
0.0305965 MeV 1.03171 0 5.55026 mm 0.0989461 mm 0 mm
0.0310441 MeV 1.03738 0 5.61521 mm 0.0998112 mm 0 mm
0.0314983 MeV 1.04304 0 5.68074 mm 0.10068 mm 0 mm
0.0319591 MeV 1.0487 0 5.74688 mm 0.101552 mm 0 mm
0.0324266 MeV 1.05436 0 5.81363 mm 0.102428 mm 0 mm
0.032901 MeV 1.06 0 5.88098 mm 0.103307 mm 0 mm
0.0333823 MeV 1.06564 0 5.94896 mm 0.104191 mm 0 mm
0.0338707 MeV 1.07127 0 6.01758 mm 0.105079 mm 0 mm
0.0343662 MeV 1.07688 0 6.08683 mm 0.105971 mm 0 mm
0.034869 MeV 1.08249 0 6.15673 mm 0.106868 mm 0 mm
0.0353791 MeV 1.08807 0 6.22728 mm 0.107769 mm 0 mm
0.0358967 MeV 1.09364 0 6.2985 mm 0.108675 mm 0 mm
0.0364218 MeV 1.09921 0 6.3704 mm 0.109586 mm 0 mm
0.0369546 MeV 1.10474 0 6.44298 mm 0.110502 mm 0 mm
0.0374952 MeV 1.11026 0 6.51626 mm 0.111423 mm 0 mm
0.0380438 MeV 1.11575 0 6.59024 mm 0.11235 mm 0 mm
0.0386003 MeV 1.12122 0 6.66493 mm 0.113282 mm 0 mm
0.039165 MeV 1.12667 0 6.74035 mm 0.11422 mm 0 mm
