eid,x,y,z,q
0,-83.44,-28.3038,813.015,26.35
0,125.16,24.0532,777.461,32.65
0,46.6282,52.4586,779.469,27.5
0,76.0776,15.5519,773.864,31.95
0,98.1647,19.8025,770.267,30.75
0,51.5365,9.95207,764.783,32.3
0,-171.788,19.8703,769.368,25.9
0,-215.962,22.8395,767.462,28.35
0,-24.5412,-19.8025,762.055,34.35
0,-78.5318,-31.2053,762.219,24.75
0,-166.88,11.369,758.184,26.6
0,-36.8118,-15.5519,753.226,31.3
0,-240.504,70.8781,740.262,28.15
0,58.8988,73.7119,730.379,28.15
0,44.1741,36.8052,719.341,30.2
0,93.2565,31.2053,706.577,28.55
0,-2.45413,35.456,705.755,25.15
0,-2.45412,100.565,703.795,32.45
0,12.2706,100.565,700.337,38.6
0,17.1788,100.565,698.36,31.25
0,-17.1788,86.4639,694.841,35.1
0,2.4541,52.4586,691.24,35.85
0,7.36234,77.9626,687.553,38.4
0,122.706,45.3065,668.442,29.35
0,-39.2659,-39.7067,665.39,33.9
0,-2.45413,52.4586,656.669,27.65
0,39.2659,-39.7067,637.179,36.4
0,-100.619,-94.9652,627.22,33.95
0,73.6235,22.704,622.989,30.75
0,68.7153,-62.3091,619.042,36.65
0,-71.1694,-109.066,618.235,33.25
0,-58.8988,-87.813,616.364,35.4
0,-7.36236,-26.9547,614.344,33.85
0,-152.155,-138.889,601.144,29
0,-63.8071,-39.7067,590.909,30.8
0,-9.81648,-19.8025,585.07,36.75
0,-171.788,-184.364,584.71,33.8
0,58.8988,-79.3117,580.753,37.9
0,-152.155,-121.886,581.13,32.7
0,46.6282,-60.9599,573.654,30.6
0,-19.6329,-22.704,570.849,29.95
0,-132.522,-116.354,573.943,32.95
0,-53.9906,45.3065,560.25,33.75
0,78.5318,-82.2132,554.219,33.55
0,76.0776,-15.5519,529.942,35.9
0,206.146,-62.3768,530.499,67.2
0,186.513,-164.393,527.629,28.85
0,-71.1694,32.5545,525.743,31.05
0,132.522,-116.354,522.135,33.4
0,-90.8024,41.0558,521.818,38.55
0,171.788,19.8703,519.446,33.55
0,196.329,-22.8395,521.299,33.35
0,71.1694,-69.4613,516.15,28.05
0,196.329,-5.83687,519.598,28.95
0,250.32,-2.86764,512.134,30.1
0,161.972,-65.3461,506.833,33.55
0,120.252,-7.05056,504.316,29.1
0,171.788,2.86764,504.928,30.65
0,-49.0824,28.3038,501.818,37.15
0,4.90822,-39.7067,501.605,35.7
0,-73.6235,121.818,499.593,31.6
0,110.435,-49.5571,495.563,34.25
0,147.247,11.3012,493.475,29.7
0,7.36235,-100.565,487.06,40.05
0,98.1647,-19.8025,486.169,33.25
0,83.44,-28.3038,486.344,32.4
0,137.431,209.868,484.548,33.3
0,-98.1647,-19.8025,462.314,35.3
0,9.81647,164.393,459.184,32.2
0,34.3576,167.362,459.027,33.85
0,49.0824,-14.2027,458.976,30.1
0,-12.2706,-120.469,456.261,35.3
0,206.146,141.858,458.297,32.95
0,44.1741,189.897,455.457,34.25
0,46.6282,-24.0532,457.209,32.8
0,-100.619,-9.95207,456.836,38.3
0,98.1647,70.8104,455.86,39.9
0,24.5412,-87.813,456.253,33.7
0,58.8988,243.874,453.635,34.95
0,147.247,130.387,454.625,32.8
0,103.073,172.894,453.706,30.6
0,53.9906,138.889,453.803,33
0,-7.36236,-100.565,448.978,36.15
0,-53.9906,-5.70141,449.555,38.1
0,-14.7247,-116.218,445.337,33
0,-147.247,28.3716,443.818,36.2
0,95.7106,86.4639,439.473,38.8
0,-39.2659,53.8078,434.098,37.2
0,-14.7247,-79.3117,432.609,37.35
