pad,x,y
4,-250.32,2.86764
17,-186.513,5.83687
18,-181.605,2.86764
19,-176.696,5.83687
20,-171.788,2.86764
21,-166.88,5.83687
22,-161.972,2.86764
23,-157.064,5.83687
24,-154.609,1.45075
25,-152.155,2.7999
26,-152.155,5.70141
27,-149.701,1.45075
28,-149.701,7.05056
29,-147.247,5.70141
30,-147.247,2.7999
31,-144.793,7.05056
32,-144.793,1.45075
33,-142.339,2.7999
34,-142.339,5.70141
35,-139.885,1.45075
36,-139.885,7.05056
37,-137.431,5.70141
38,-137.431,2.7999
39,-134.976,7.05056
40,-134.976,1.45075
41,-132.522,2.7999
42,-132.522,5.70141
43,-130.068,1.45075
44,-130.068,7.05056
45,-127.614,5.70141
46,-127.614,2.7999
47,-125.16,7.05056
48,-125.16,1.45075
49,-122.706,2.7999
50,-122.706,5.70141
51,-120.252,1.45075
52,-120.252,7.05056
53,-117.798,5.70141
54,-117.798,2.7999
55,-115.344,7.05056
56,-115.344,1.45075
57,-112.889,2.7999
58,-112.889,5.70141
59,-110.435,1.45075
60,-110.435,7.05056
61,-107.981,5.70141
62,-107.981,2.7999
64,-105.527,1.45075
65,-103.073,2.7999
66,-103.073,5.70141
67,-100.619,1.45075
68,-100.619,7.05056
69,-98.1647,5.70141
70,-98.1647,2.7999
71,-95.7106,7.05056
72,-95.7106,1.45075
73,-93.2565,2.7999
74,-93.2565,5.70141
75,-90.8024,1.45075
76,-90.8024,7.05056
77,-88.3482,5.70141
78,-88.3482,2.7999
79,-85.8941,7.05056
80,-85.8941,1.45075
81,-83.44,2.7999
82,-83.44,5.70141
83,-80.9859,1.45075
84,-80.9859,7.05056
85,-78.5318,5.70141
86,-78.5318,2.7999
87,-76.0777,7.05056
88,-76.0777,1.45075
89,-73.6235,2.7999
90,-73.6235,5.70141
91,-71.1694,1.45075
92,-71.1694,7.05056
93,-68.7153,5.70141
94,-68.7153,2.7999
95,-66.2612,7.05056
96,-66.2612,1.45075
97,-63.8071,2.7999
98,-63.8071,5.70141
99,-61.353,1.45075
100,-61.353,7.05056
101,-58.8988,5.70141
102,-58.8988,2.7999
103,-56.4447,7.05056
104,-56.4447,1.45075
105,-53.9906,2.7999
106,-53.9906,5.70141
107,-51.5365,1.45075
108,-51.5365,7.05056
109,-49.0824,5.70141
110,-49.0824,2.7999
111,-46.6282,7.05056
112,-46.6282,1.45075
113,-44.1741,2.7999
114,-44.1741,5.70141
115,-41.72,1.45075
116,-41.72,7.05056
117,-39.2659,5.70141
118,-39.2659,2.7999
119,-36.8118,7.05056
120,-36.8118,1.45075
121,-34.3577,2.7999
122,-34.3577,5.70141
123,-31.9035,1.45075
124,-31.9035,7.05056
125,-29.4494,5.70141
126,-29.4494,2.7999
127,-26.9953,7.05056
128,-26.9953,1.45075
129,-24.5412,2.7999
130,-24.5412,5.70141
131,-22.0871,1.45075
132,-22.0871,7.05056
133,-19.6329,5.70141
134,-19.6329,2.7999
135,-17.1788,7.05056
136,-17.1788,1.45075
137,-14.7247,2.7999
138,-14.7247,5.70141
139,-12.2706,1.45075
140,-12.2706,7.05056
141,-9.81648,5.70141
142,-9.81648,2.7999
143,-7.36236,7.05056
144,-7.36237,1.45075
145,-4.90825,2.7999
147,-2.45413,1.45075
148,-2.45413,7.05056
