psa,x,y,z,pad,mult,rank
max,-171.788,2.86764,841.76,20,1,0
max,-157.064,5.83687,427.76,23,1,0
max,-152.155,2.7999,435.12,25,1,0
max,-152.155,5.70141,429.6,26,1,0
max,-149.701,1.45075,435.12,27,1,0
max,-149.701,7.05056,429.6,28,1,0
max,-147.247,5.70141,429.6,29,1,0
max,-147.247,2.7999,435.12,30,1,0
max,-144.793,7.05056,490.32,31,1,0
max,-144.793,1.45075,435.12,32,1,0
max,-142.339,2.7999,431.44,33,1,0
max,-142.339,5.70141,490.32,34,1,0
max,-139.885,7.05056,490.32,36,1,0
max,-137.431,5.70141,495.84,37,1,0
max,-137.431,2.7999,490.32,38,1,0
max,-134.976,7.05056,490.32,39,1,0
max,-134.976,1.45075,490.32,40,1,0
max,-132.522,2.7999,490.32,41,1,0
max,-130.068,1.45075,492.16,43,1,0
max,-130.068,7.05056,545.52,44,1,0
max,-127.614,5.70141,545.52,45,1,0
max,-125.16,7.05056,545.52,47,1,0
max,-125.16,1.45075,545.52,48,1,0
max,-122.706,2.7999,545.52,49,1,0
max,-122.706,5.70141,547.36,50,1,0
max,-120.252,1.45075,545.52,51,1,0
max,-120.252,7.05056,545.52,52,1,0
max,-117.798,5.70141,547.36,53,1,0
max,-117.798,2.7999,547.36,54,1,0
max,-115.344,1.45075,547.36,56,1,0
max,-112.889,2.7999,547.36,57,1,0
max,-112.889,5.70141,543.68,58,1,0
max,-110.435,1.45075,547.36,59,1,0
max,-105.527,1.45075,547.36,64,1,0
max,-103.073,5.70141,600.72,66,1,0
max,-100.619,7.05056,600.72,68,1,0
max,-98.1647,5.70141,602.56,69,1,0
max,-98.1647,2.7999,600.72,70,1,0
max,-95.7106,7.05056,598.88,71,1,0
max,-93.2565,2.7999,602.56,73,1,0
max,-93.2565,5.70141,604.4,74,1,0
max,-90.8024,1.45075,604.4,75,1,0
max,-90.8024,7.05056,604.4,76,1,0
max,-88.3482,5.70141,604.4,77,1,0
max,-88.3482,2.7999,602.56,78,1,0
max,-85.8941,7.05056,604.4,79,1,0
max,-85.8941,1.45075,602.56,80,1,0
max,-83.44,2.7999,604.4,81,1,0
max,-83.44,5.70141,606.24,82,1,0
max,-80.9859,1.45075,604.4,83,1,0
max,-80.9859,7.05056,604.4,84,1,0
max,-78.5318,5.70141,606.24,85,1,0
max,-78.5318,2.7999,606.24,86,1,0
max,-76.0777,7.05056,606.24,87,1,0
max,-76.0777,1.45075,604.4,88,1,0
max,-73.6235,2.7999,606.24,89,1,0
max,-73.6235,5.70141,606.24,90,1,0
max,-71.1694,1.45075,606.24,91,1,0
max,-71.1694,7.05056,606.24,92,1,0
max,-68.7153,5.70141,606.24,93,1,0
max,-68.7153,2.7999,606.24,94,1,0
max,-66.2612,7.05056,608.08,95,1,0
max,-66.2612,1.45075,606.24,96,1,0
max,-63.8071,2.7999,606.24,97,1,0
max,-63.8071,5.70141,608.08,98,1,0
