eid,x,y,z,q
0,-245.412,-62.3768,424.197,58.5346
1,17.1788,-18.4534,911.476,4063.51
1,14.7247,-19.8025,910.299,4518.08
1,51.5365,-58.0584,907.047,197.094
1,24.5412,-36.8052,907.139,101.4
1,14.7247,-14.2027,907.14,172.183
1,36.8118,-43.9573,890.094,1588.53
1,39.2659,-45.3065,872.687,1552.52
1,17.1788,-24.0532,866.846,141.33
1,39.2659,-39.7067,865.988,565.874
1,44.1741,-39.7067,864.83,705.263
1,39.2659,-36.8052,865.655,647.763
1,41.72,-41.0558,847.461,125.097
1,12.2706,-15.5519,847.171,193.76
1,36.8118,-35.456,847.881,252.896
1,34.3577,-45.3065,847.69,293.952
1,12.2706,-18.4534,847.241,2362.07
1,14.7247,-22.704,844.95,193.686
1,2.45413,-18.4534,799.828,344.751
1,9.81648,-19.8025,796.196,1611.25
1,9.81648,-22.704,793.794,144.577
1,2.4541,-35.456,768.426,183.733
1,9.81648,-22.704,750.853,239.576
1,206.146,-62.3768,354.975,45.5368
1,206.146,-62.3768,325.126,43.6249
1,-245.412,-62.3768,305.82,73.6283
1,-245.412,-62.3768,284.741,91.9469
1,-245.412,-62.3768,267.325,73.543
1,-245.412,-62.3768,253.278,79.3686
2,-39.2659,22.704,387.623,4370.98
2,-41.72,24.0532,385.93,4412.74
2,-71.1694,32.5545,382.345,250.334
2,-66.2612,35.456,382.684,3244.54
2,-26.9953,9.95207,382.295,714.09
2,-71.1694,26.9547,382.545,2246.77
2,-68.7153,36.8052,383.094,3326.65
2,-73.6235,22.704,382.494,1161.23
2,-68.7153,31.2053,382.54,387.496
2,-24.5412,19.8025,382.318,410.857
2,-36.8118,24.0532,380.957,507.29
2,-29.4494,19.8025,381.656,289.416
2,83.44,107.717,378.898,1715.31
2,85.8941,109.066,377.898,962.89
2,-49.0824,22.704,377.21,4376.22
2,-44.1741,22.704,377.529,4213.51
2,-90.8024,35.456,372.872,3591.52
2,83.44,104.816,369.321,306.146
2,-34.3577,22.704,369.506,179.593
2,-29.4494,22.704,367.902,548.959
2,-88.3483,39.7067,367.904,2499.3
2,-24.5412,22.704,368.772,716.874
2,88.3482,107.717,368.346,109.563
2,-51.5365,32.5545,367.542,162.517
2,-39.2659,31.2053,367.457,359.829
2,-46.6282,15.5519,366.392,2292.4
2,-93.2565,31.2053,365.677,1712.75
2,-19.6329,14.2027,366.69,204.109
2,-22.0871,15.5519,367.403,179.378
2,-31.9035,24.0532,367.338,276.749
2,-95.7106,32.5545,367.513,102.283
2,-58.8988,22.704,365.853,516.299
2,-90.8024,41.0558,364.499,157.04
2,-90.8024,32.5545,365.777,1696.81
2,-41.72,26.9547,363.391,4290.8
2,-85.8941,41.0558,362.411,186.004
2,-46.6282,24.0532,363.843,260.989
2,-44.1741,14.2027,362.349,439.893
2,-39.2659,14.2027,361.602,172.829
2,-88.3483,36.8052,360.149,155.98
2,85.8941,103.467,357.263,1965.53
2,88.3482,104.816,357.511,1042.09
2,-127.614,45.3065,351.749,3382.7
2,-39.2659,28.3038,349.613,4157.83
2,-127.614,48.208,349.049,4028.89
2,-125.16,52.4586,348.791,3660.69
2,-73.6235,39.7067,345.279,3531.61
2,90.8023,103.467,343.091,109.246
2,85.8941,100.565,341.752,585.967
2,-31.9035,18.4534,343.075,150.431
2,-53.9906,45.3065,338.972,491.996
2,-26.9953,24.0532,339.497,885.538
2,-29.4494,11.3012,339.58,159.243
2,-112.889,36.8052,338.957,407.321
2,-31.9035,15.5519,340.153,783.544
2,-36.8118,26.9547,339.095,2672.82
2,-90.8024,43.9573,338.461,88.3316
2,-76.0777,41.0558,338.3,2134.31
2,-22.0871,24.0532,337.317,140.717
2,-130.068,43.9573,336.339,284.432
2,-53.9906,36.8052,333.496,761.592
2,90.8023,100.565,332.214,403.917
2,-125.16,49.5571,331.568,2817.77
2,-78.5318,39.7067,331.905,529.805
2,88.3482,99.2159,329.901,1578.67
2,-122.706,53.8078,320.889,2297.63
2,-39.2659,31.2053,320.214,3601.12
2,-41.72,15.5519,318.408,114.129
2,-44.1741,28.3038,317.445,2556.01
2,88.3482,96.3143,315.053,1056.21
2,-53.9906,31.2053,315.765,1269.72
2,-125.16,43.9573,314.91,646.179
2,-51.5365,32.5545,313.519,324.447
2,-71.1694,41.0558,312.848,580.607
2,-41.72,32.5545,311.284,3353.04
2,-78.5318,36.8052,309.272,127.188
2,-53.9906,39.7067,302.411,3004.58
2,-44.1741,31.2053,302.949,2545.91
2,-68.7153,-104.816,299.227,81.5433
2,90.8023,94.9652,300.212,2262.5
2,-117.798,45.3065,302.031,3541.28
2,-56.4447,35.456,301.251,3136.52
2,93.2565,96.3143,298.666,237.38
2,-51.5365,41.0558,295.773,3133.3
2,-56.4447,41.0558,292.187,2473.13
2,-53.9906,36.8052,289.795,1159.64
2,-120.252,41.0558,287.834,2846.02
2,-115.344,49.5571,288.791,2742.88
2,90.8023,92.0637,286.163,1436.59
2,-110.435,41.0558,284.743,99.5398
2,-110.435,49.5571,283.085,136.827
2,-63.8071,36.8052,282.287,391.303
2,-112.889,39.7067,283.205,126.696
2,-61.353,35.456,282.933,605.37
2,-51.5365,35.456,281.428,255.819
2,-117.798,39.7067,280.791,1169.78
2,-49.0823,36.8052,281.494,158.721
2,-46.6282,35.456,281.085,127.558
2,-58.8988,36.8052,279.899,242.402
2,-115.344,43.9573,279.207,265.996
2,-58.8988,39.7067,278.654,497.584
2,-46.6282,41.0558,279.634,454.103
2,-44.1741,39.7067,277.99,270.536
2,98.1647,79.3117,274.009,52.2891
2,-49.0823,39.7067,277.415,1743.95
2,-36.8118,32.5545,273.193,3372.07
2,-112.889,48.208,276.118,154.664
2,-115.344,41.0558,275.303,104.338
2,93.2565,90.7145,273.042,1205.56
2,-120.252,43.9573,274.681,203.8
2,-46.6282,32.5545,274.336,129.755
2,-41.72,35.456,267.69,4090.13
2,-117.798,48.208,266.93,170.061
2,-36.8118,35.456,260.124,3475.29
2,93.2565,87.813,259.908,1548.92
2,-39.2659,36.8052,259.947,3877.09
2,-98.1647,124.855,254.949,78.499
2,-73.6235,70.8104,252.891,437.752
2,90.8023,86.4639,253.281,508.461
2,-93.2565,121.886,254.635,174.192
2,-93.2565,99.2159,253.059,687.681
2,-34.3577,31.2053,252.417,713.046
2,-17.1788,24.0532,246.12,43.0122
2,-80.9859,109.066,245.353,260.201
2,-80.9859,103.467,244.433,540.277
2,95.7106,86.4639,242.494,404.401
2,-85.8941,103.467,242.036,3025.79
2,-41.72,41.0558,242.713,374.454
2,-88.3482,104.816,239.772,1794.91
2,-53.9906,65.2106,240.616,762.457
2,-88.3482,99.2159,239.119,2814.81
2,-93.2565,107.717,236.752,2690.36
2,90.8023,83.5624,237.529,456.855
2,-56.4447,52.4586,235.945,118.404
2,-78.5318,104.816,235.299,517.03
2,95.7106,83.5624,234.239,730.314
2,-90.8024,111.968,235.093,2609.27
2,-61.3529,60.9599,232.748,110.437
2,93.2565,82.2132,232.379,1289.08
2,-44.1741,53.8078,230.622,1614.31
2,-63.8071,65.2106,231.075,254.747
2,-56.4447,69.4613,228.029,2177.56
2,-58.8988,56.7093,227.771,190.181
2,-24.5412,28.3038,228.124,282.232
2,-68.7153,70.8104,225.661,133.183
2,-49.0823,62.3091,224.903,2018.92
2,-88.3482,113.317,224.684,1973.2
2,-83.44,104.816,224.893,2247.46
2,-39.2659,39.7067,223.453,3489.47
2,-29.4494,31.2053,224.905,542.558
2,-71.1694,75.0611,224.188,125.938
2,-26.9953,26.9547,223.862,884.036
2,-78.5318,79.3117,223.305,88.4563
2,-26.9953,32.5545,221.137,417.169
2,-34.3576,36.8052,220.91,3025.2
2,-85.8941,117.568,221.171,1227.3
2,-46.6282,58.0584,220.059,692.986
2,-58.8988,65.2106,216.943,863.523
2,-93.2565,116.354,216.896,116.994
2,-36.8118,41.0558,215.379,2330.87
2,-88.3482,116.218,215.357,163.216
2,93.2565,79.3117,213.142,1080.37
2,-63.8071,70.8104,212.93,134.688
2,-39.2659,45.3065,207.877,534.823
2,-34.3576,39.7067,207.031,3774.29
2,98.1647,79.3117,206.07,134.859
2,-85.8941,111.968,206.06,747.384
2,-51.5365,60.9599,204.433,211.937
2,95.7106,77.9626,202.732,1043.67
2,90.8023,77.9626,202.018,112.391
2,-39.2659,53.8078,200.363,782.586
2,-41.72,49.5571,200.979,318.974
2,-44.1741,36.8052,194.28,1473.34
2,-83.44,113.317,195.028,325.325
2,-90.8024,109.066,195.186,504.81
2,-31.9035,32.5545,191.436,160.649
2,90.8023,75.0611,190.754,110.53
2,-41.72,43.9573,191.273,162.236
2,95.7106,75.0611,187.326,985.658
2,-78.5318,87.813,185.535,1771
2,-41.72,41.0558,185.825,650.254
2,-26.9953,26.9547,186.047,1511.28
2,-31.9035,35.456,183.191,2786.67
2,93.2565,73.7119,180.974,754.321
2,98.1647,73.7119,179.567,127.569
2,-56.4447,66.5598,178.883,185.961
2,-73.6235,82.2132,177.88,2514.92
2,-68.7153,90.7145,178.012,1933.04
2,-76.0776,86.4639,179.217,2415.58
2,-49.0824,70.8104,178.375,906.566
2,-44.1741,45.3065,177.008,533.295
2,-71.1694,77.9626,175.946,75.2419
2,-66.2612,86.4639,173.812,2374.54
2,-68.7153,82.2132,171.077,243.105
2,-36.8118,49.5571,171.561,476.776
2,-31.9035,41.0558,171.777,3076.67
2,-39.2659,56.7093,167.436,280.817
2,-36.8118,43.9573,166.966,3023.59
2,-24.5412,28.3038,165.805,308.363
2,98.1647,70.8104,166.078,160.599
2,-26.9953,32.5545,165.63,757.957
2,-61.3529,60.9599,167.135,117.282
2,-34.3576,45.3065,165.113,1855.12
2,-24.5412,31.2053,163.451,1469.37
2,-29.4494,31.2053,163.7,438.536
2,-46.6282,66.5598,164.454,1495.14
2,93.2565,70.8104,161.54,887.3
2,90.8023,69.4613,159.646,191.701
2,95.7106,69.4613,159.904,1057.48
2,-73.6235,87.813,160.617,130.762
2,-76.0776,83.5624,160.949,684.266
2,-68.7153,87.813,160.901,769.708
2,-71.1694,86.4639,156.377,108.524
2,-31.9035,43.9573,154.956,3553.53
2,-29.4494,36.8052,151.012,2188.58
2,-49.0823,65.2106,147.993,327.184
2,-22.0871,26.9547,146.856,2538.25
2,-71.1694,83.5624,145.703,825.46
2,90.8024,66.5598,141.493,248.358
2,95.7106,66.5598,139.041,973.603
2,-66.2612,77.9626,135.181,1787.22
2,98.1647,65.2106,135.058,257.793
2,93.2565,65.2106,133.539,1099.81
2,-29.4494,39.7067,134.387,2198.09
2,-26.9953,32.5545,133.677,833.999
