eid,x,y,z,q
0,-245.412,-62.3768,422.186,58.5165
1,17.1788,-18.4534,912.408,4063.51
1,14.7247,-19.8025,911.253,4518.08
1,51.5365,-58.0584,907.873,197.094
1,24.5412,-36.8052,908.235,101.4
1,14.7247,-14.2027,908.272,172.183
1,36.8118,-43.9573,891.046,1588.53
1,39.2659,-45.3065,873.597,1552.52
1,17.1788,-24.0532,867.812,141.33
1,39.2659,-39.7067,866.991,565.874
1,44.1741,-39.7067,865.751,705.263
1,39.2659,-36.8052,866.547,647.763
1,41.72,-41.0558,848.498,125.097
1,12.2706,-15.5519,848.277,193.76
1,41.72,-35.456,848.461,112.428
1,36.8118,-35.456,848.781,252.896
1,34.3577,-45.3065,848.797,293.952
1,12.2706,-18.4534,846.356,2362.07
1,14.7247,-22.704,843.94,193.686
1,2.45413,-18.4534,798.903,344.751
1,2.45413,-32.5545,798.156,113.179
1,9.81648,-19.8025,795.419,1611.25
1,2.4541,-35.456,767.488,183.733
1,9.81648,-22.704,750.007,239.568
1,206.146,-62.3768,355.66,46.8612
1,-245.412,-62.3768,303.768,72.9309
1,98.1647,70.8104,277.109,61.2204
2,-39.2659,22.704,385.515,4370.98
2,-41.72,24.0532,383.836,4412.74
2,-71.1694,32.5545,380.238,250.334
2,-68.7153,31.2053,380.312,387.496
2,-66.2612,35.456,380.549,3244.54
2,-26.9953,9.95207,380.201,714.09
2,-71.1694,26.9547,380.38,2246.77
2,-68.7153,36.8052,380.957,3326.65
2,-73.6235,22.704,380.368,1161.23
2,-24.5412,19.8025,380.16,410.857
2,-36.8118,24.0532,378.719,507.29
2,-29.4494,19.8025,379.581,289.416
2,83.44,107.717,377.703,1715.31
2,85.8941,109.066,376.584,962.89
2,-49.0824,22.704,375.158,4376.22
2,-44.1741,22.704,375.336,4213.51
2,-90.8024,35.456,370.786,3591.52
2,-34.3577,22.704,367.28,179.593
2,83.44,104.816,367.946,306.146
2,-88.3483,39.7067,365.775,2499.3
2,-29.4494,22.704,365.679,548.959
2,-24.5412,22.704,366.575,716.874
2,88.3482,107.717,366.931,109.563
2,-90.8024,41.0558,364.499,157.04
2,-58.8988,22.704,363.701,516.299
2,-95.7106,32.5545,365.213,102.283
2,-31.9035,24.0532,365.095,276.749
2,-22.0871,15.5519,365.402,179.378
2,-19.6329,14.2027,364.649,204.109
2,-93.2565,31.2053,363.678,1712.75
2,-46.6282,15.5519,364.263,2292.4
2,-90.8024,32.5545,363.499,1696.81
2,-41.72,26.9547,361.207,4290.8
2,-85.8941,41.0558,360.174,186.004
2,-46.6282,24.0532,361.678,260.989
2,-44.1741,14.2027,360.173,439.893
2,-39.2659,14.2027,359.477,172.859
2,-88.3483,36.8052,357.964,155.98
2,88.3482,104.816,356.298,1042.09
2,85.8941,103.467,355.994,1965.53
2,-127.614,45.3065,349.552,3382.7
2,-39.2659,28.3038,347.43,4157.83
2,-127.614,48.208,347.079,4028.89
2,-125.16,52.4586,346.602,3660.69
2,-73.6235,39.7067,343.084,3531.61
2,90.8023,103.467,341.832,109.246
2,85.8941,100.565,340.446,585.967
2,-31.9035,18.4534,340.907,150.431
2,-53.9906,45.3065,336.904,491.996
2,-26.9953,24.0532,337.297,885.538
2,-29.4494,11.3012,337.325,159.243
2,-112.889,36.8052,337.907,407.321
2,-31.9035,15.5519,337.874,783.544
2,-36.8118,26.9547,336.966,2672.82
2,-90.8024,43.9573,336.271,88.3316
2,-22.0871,24.0532,335.045,140.717
2,-76.0777,41.0558,336.295,2134.31
2,-122.706,48.208,333.238,113.346
2,-130.068,43.9573,334.289,284.432
2,90.8023,100.565,331.002,403.917
2,-125.16,49.5571,329.472,2817.77
2,-78.5318,39.7067,329.996,529.805
2,88.3482,99.2159,328.616,1578.67
2,-49.0824,31.2053,320.815,114
2,-122.706,53.8078,318.724,2297.63
2,-39.2659,31.2053,318.123,3601.12
2,-41.72,15.5519,316.207,114.129
2,-44.1741,28.3038,315.236,2556.01
2,88.3482,96.3143,313.905,1056.21
2,-53.9906,31.2053,313.608,1269.72
2,-125.16,43.9573,312.71,646.179
2,-51.5365,32.5545,311.39,324.448
2,-71.1694,41.0558,310.541,580.607
2,-41.72,32.5545,309.164,3353.04
2,-78.5318,36.8052,307.016,127.188
2,-44.1741,31.2053,300.762,2545.91
2,-53.9906,39.7067,300.34,3004.58
2,-68.7153,-104.816,299.372,81.5433
2,90.8023,94.9652,298.846,2262.5
2,-56.4447,35.456,299.2,3136.52
2,-117.798,45.3065,299.791,3541.28
2,93.2565,96.3143,297.514,237.38
2,-51.5365,41.0558,293.565,3133.3
2,-56.4447,41.0558,290.129,2473.13
2,-115.344,49.5571,286.648,2742.88
2,-53.9906,36.8052,287.029,1157.69
2,-120.252,41.0558,285.619,2846.02
2,-80.9859,35.456,284.948,138.471
2,90.8023,92.0637,284.828,1436.59
2,-110.435,41.0558,282.485,99.5398
2,-112.889,39.7067,280.967,126.696
2,-63.8071,36.8052,280.21,391.303
2,-110.435,49.5571,280.875,136.827
2,-61.353,35.456,280.703,605.37
2,-49.0823,36.8052,279.433,158.721
2,-51.5365,35.456,279.472,255.819
2,-46.6282,35.456,278.971,127.558
2,-117.798,39.7067,278.751,1169.78
2,-58.8988,36.8052,277.728,242.402
2,-115.344,43.9573,277.106,265.996
2,-58.8988,39.7067,276.728,497.584
2,-46.6282,41.0558,277.458,454.103
2,-44.1741,39.7067,275.719,270.536
2,-49.0823,39.7067,275.201,1743.95
2,-36.8118,32.5545,273.65,3372.07
2,-112.889,48.208,273.989,154.664
2,-115.344,41.0558,273.194,104.338
2,93.2565,90.7145,273.637,1205.56
2,-120.252,43.9573,272.419,203.8
2,-46.6282,32.5545,272.149,129.755
2,-41.72,35.456,268.14,4090.13
2,-117.798,48.208,264.801,170.061
2,-36.8118,35.456,260.465,3475.29
2,93.2565,87.813,260.482,1548.92
2,-39.2659,36.8052,260.239,3877.09
2,-98.1647,124.855,254.732,78.499
2,-93.2565,121.886,254.268,174.192
2,90.8023,86.4639,253.842,508.461
2,-73.6235,70.8104,253.311,437.752
2,-93.2565,99.2159,253.399,687.681
2,-34.3577,31.2053,252.902,713.046
2,-80.9859,109.066,245.763,260.201
2,-80.9859,103.467,244.966,540.277
2,95.7106,86.4639,243.021,404.401
2,-85.8941,103.467,242.468,3025.79
2,-53.9906,65.2106,241.068,762.457
2,-88.3482,104.816,240.199,1794.91
2,-88.3482,99.2159,239.566,2814.81
2,-93.2565,107.717,237.189,2690.36
2,90.8023,83.5624,237.919,456.855
2,-56.4447,52.4586,236.369,118.404
2,-90.8024,111.968,235.518,2609.27
2,95.7106,83.5624,234.804,730.314
2,-78.5318,104.816,235.774,517.03
2,93.2565,82.2132,232.851,1289.08
2,-63.8071,65.2106,231.347,254.747
2,-44.1741,53.8078,231.102,1614.31
2,-56.4447,69.4613,228.439,2177.56
2,-58.8988,56.7093,228.113,190.181
2,-68.7153,70.8104,225.977,133.183
2,-29.4494,31.2053,225.309,542.558
2,-83.44,104.816,225.314,2247.46
2,-39.2659,39.7067,223.914,3489.47
2,-49.0823,62.3091,225.283,2018.92
2,-88.3482,113.317,225.076,1973.2
2,-71.1694,75.0611,224.354,125.938
2,-78.5318,79.3117,223.563,88.4563
