x,y,z,pad,mult,rank
-171.788,2.86764,546.771,20,1,0
-44.1741,5.70141,173.437,114,1,0
-41.72,7.05056,194.35,116,1,0
-39.2659,2.7999,173.841,118,1,0
-36.8118,7.05056,158.33,119,1,0
-31.9035,1.45075,193.582,123,1,0
-31.9035,7.05056,195.625,124,1,0
-29.4494,5.70141,172.272,125,1,0
-26.9953,7.05056,192.063,127,1,0
-26.9953,1.45075,157.709,128,1,0
-24.5412,5.70141,224.54,130,1,0
-22.0871,1.45075,174.028,131,1,0
-19.6329,5.70141,363.958,133,1,0
-17.1788,7.05056,364.683,135,1,0
-7.36236,7.05056,345.306,143,2,0
-7.36236,7.05056,406.813,143,2,1
-4.90825,2.7999,345.642,145,1,0
-2.45413,1.45075,406.671,147,1,0
-1.33514e-05,5.70141,551.766,149,1,0
26.9953,7.05056,575.085,172,1,0
-166.88,11.369,364.49,321,1,0
-103.073,14.2027,211.108,362,1,0
-95.7106,9.95207,210.815,368,1,0
-90.8024,15.5519,174.747,372,1,0
-88.3482,11.3012,387.912,374,1,0
-85.8941,15.5519,197.171,377,1,0
-83.44,14.2027,194.44,378,1,0
-80.9859,9.95207,211.043,381,1,0
-78.5318,11.3012,157.904,382,1,0
-78.5318,14.2027,157.89,383,1,0
-76.0777,15.5519,158.097,385,1,0
-66.2612,9.95207,225.63,392,1,0
-66.2612,15.5519,157.744,393,1,0
-46.6282,9.95207,160.498,408,1,0
-44.1741,14.2027,209.502,410,1,0
-44.1741,11.3012,172.698,411,1,0
-41.72,15.5519,218.348,412,1,0
-41.72,9.95207,200.293,413,1,0
-39.2659,11.3012,215.792,414,1,0
-39.2659,14.2027,217.909,415,1,0
-36.8118,15.5519,244.704,417,1,0
-34.3577,14.2027,259.678,418,1,0
-34.3577,11.3012,293.136,419,1,0
-31.9035,15.5519,283.045,420,1,0
-31.9035,9.95207,294.376,421,2,0
-31.9035,9.95207,403.205,421,2,1
-29.4494,11.3012,278.491,422,1,0
-29.4494,14.2027,272.625,423,2,0
-29.4494,14.2027,314.885,423,2,1
-26.9953,15.5519,331.819,425,2,0
-26.9953,15.5519,261.701,425,2,1
-24.5412,14.2027,329.253,426,2,0
-24.5412,14.2027,234.677,426,2,1
-22.0871,15.5519,364.291,428,2,0
-22.0871,15.5519,263.084,428,2,1
-19.6329,11.3012,365.438,430,1,0
-19.6329,14.2027,364.72,431,2,0
-19.6329,14.2027,261.625,431,2,1
-14.7247,14.2027,344.219,434,1,0
-12.2706,15.5519,405.848,436,1,0
-12.2706,9.95207,344.871,437,1,0
-9.81648,11.3012,405.84,438,2,0
-9.81648,11.3012,345.142,438,2,1
-1.33514e-05,11.3012,478.515,446,1,0
17.1788,15.5519,950.418,460,1,0
19.6329,11.3012,1033.72,462,1,0
19.6329,14.2027,1015.92,463,3,0
19.6329,14.2027,973.012,463,3,1
19.6329,14.2027,945.905,463,3,2
22.0871,15.5519,1024.57,465,2,0
22.0871,15.5519,935.002,465,2,1
-215.962,22.8395,383.038,605,1,0
-171.788,19.8703,350.551,614,1,0
-93.2565,19.8025,173.824,661,1,0
-90.8024,18.4534,174.155,663,1,0
-90.8024,24.0532,174.444,664,1,0
-88.3482,22.704,173.774,665,1,0
-85.8941,24.0532,175.171,667,1,0
-83.44,19.8025,191.82,669,1,0
-80.9859,18.4534,197.929,671,1,0
-80.9859,24.0532,191.801,672,1,0
-76.0777,24.0532,158.366,675,1,0
-76.0777,18.4534,158.418,676,1,0
-73.6235,22.704,327.475,678,1,0
-66.2612,24.0532,364.148,683,1,0
-63.8071,19.8025,157.643,685,2,0
-63.8071,19.8025,224.906,685,2,1
-56.4447,24.0532,344.622,691,1,0
-56.4447,18.4534,407.115,692,2,0
-56.4447,18.4534,344.532,692,2,1
-53.9906,19.8025,344.759,693,2,0
-53.9906,19.8025,406.046,693,2,1
-51.5365,18.4534,262.315,695,2,0
-51.5365,18.4534,403.951,695,2,1
-49.0824,22.704,327.519,697,2,0
-49.0824,22.704,241.173,697,2,1
-49.0824,19.8025,438.606,698,1,0
-46.6282,24.0532,303.972,699,2,0
-46.6282,24.0532,239.73,699,2,1
-39.2659,22.704,364.22,705,2,0
-39.2659,22.704,265.413,705,2,1
-36.8118,18.4534,264.324,708,1,0
-34.3577,19.8025,281.101,709,1,0
-31.9035,18.4534,282.544,711,2,0
-31.9035,18.4534,238.616,711,2,1
-29.4494,22.704,339.869,713,1,0
-29.4494,19.8025,310.919,714,1,0
-26.9953,24.0532,348.764,715,1,0
-26.9953,18.4534,323.696,716,1,0
-24.5412,19.8025,342.825,717,1,0
-24.5412,22.704,350.351,718,1,0
-22.0871,18.4534,364.424,719,2,0
-22.0871,18.4534,264.243,719,2,1
-22.0871,24.0532,380.903,720,1,0
-19.6329,22.704,383.229,721,2,0
-19.6329,22.704,347.121,721,2,1
-19.6329,19.8025,380.735,722,2,0
-19.6329,19.8025,261.587,722,2,1
-17.1788,24.0532,410.083,723,1,0
-17.1788,18.4534,413.702,724,1,0
-14.7247,19.8025,420.62,725,2,0
-14.7247,19.8025,334.922,725,2,1
-14.7247,22.704,416.031,726,2,0
-14.7247,22.704,335.776,726,2,1
-12.2706,18.4534,459.395,727,2,0
-12.2706,18.4534,334.228,727,2,1
-12.2706,24.0532,444.124,728,2,0
-12.2706,24.0532,330.996,728,2,1
-9.81648,22.704,452.794,729,2,0
-9.81648,22.704,413.285,729,2,1
-9.81648,19.8025,462.316,730,1,0
-7.36236,24.0532,476.707,731,2,0
-7.36236,24.0532,434.893,731,2,1
-4.90825,19.8025,511.106,733,1,0
-4.90825,22.704,489.875,734,2,0
-4.90825,22.704,436.128,734,2,1
-2.45413,24.0532,518.365,736,1,0
-1.33514e-05,22.704,537.113,737,1,0
