tb,adc
0,-18.15
1,1.85001
2,0.850006
3,1.85001
4,2.85001
5,5.85001
6,2.85001
7,4.85001
8,4.85001
9,0.850006
10,-2.14999
11,-3.14999
12,-4.14999
13,-2.14999
14,-3.14999
15,-3.14999
16,0.850006
17,1.85001
18,3.85001
19,2.85001
20,-2.14999
21,-2.14999
22,-4.14999
23,-2.14999
24,-1.14999
25,0.850006
26,-1.14999
27,6.85001
28,3.85001
29,1.85001
30,1.85001
31,-2.14999
32,3.85001
33,2.85001
34,3.85001
35,2.85001
36,3.85001
37,6.85001
38,2.85001
39,6.85001
40,6.85001
41,5.85001
42,5.85001
43,6.85001
44,4.85001
45,3.85001
46,7.85001
47,7.85001
48,11.85
49,8.85001
50,10.85
51,3.85001
52,4.85001
53,1.85001
54,3.85001
55,4.85001
56,7.85001
57,8.85001
58,7.85001
59,6.85001
60,7.85001
61,9.85001
62,9.85001
63,9.85001
64,11.85
65,10.85
66,14.85
67,17.85
68,19.85
69,23.85
70,24.85
71,32.85
72,40.85
73,59.85
74,71.85
75,84.85
76,94.85
77,99.85
78,100.85
79,98.85
80,96.85
81,93.85
82,86.85
83,78.85
84,73.85
85,67.85
86,59.85
87,52.85
88,44.85
89,41.85
90,36.85
91,31.85
92,26.85
93,20.85
94,19.85
95,13.85
96,18.85
97,16.85
98,15.85
99,17.85
100,12.85
101,10.85
102,11.85
103,13.85
104,13.85
105,14.85
106,11.85
107,10.85
108,6.85001
109,4.85001
110,4.85001
111,4.85001
112,3.85001
113,3.85001
114,2.85001
115,3.85001
116,4.85001
117,8.85001
118,3.85001
119,10.85
120,12.85
121,9.85001
122,9.85001
123,11.85
124,10.85
125,11.85
126,6.85001
127,9.85001
128,12.85
129,14.85
130,13.85
131,20.85
132,19.85
133,25.85
134,27.85
135,32.85
136,34.85
137,36.85
138,46.85
139,50.85
140,60.85
141,75.85
142,87.85
143,106.85
144,128.85
145,156.85
146,195.85
147,241.85
148,276.85
149,313.85
150,349.85
151,408.85
152,472.85
153,538.85
154,599.85
155,646.85
156,666.85
157,666.85
158,640.85
159,612.85
160,569.85
161,527.85
162,486.85
163,445.85
164,402.85
165,370.85
166,340.85
167,310.85
168,287.85
169,262.85
170,236.85
171,207.85
172,188.85
173,169.85
174,148.85
175,125.85
176,114.85
177,98.85
178,81.85
179,70.85
180,58.85
181,47.85
182,42.85
183,40.85
184,33.85
185,26.85
186,27.85
187,21.85
188,19.85
189,16.85
190,11.85
191,6.85001
192,6.85001
193,-3.14999
194,2.85001
195,-0.149994
196,-0.149994
197,-0.149994
198,-3.14999
199,-3.14999
