psa,event,x,y,z,pad
max,0,-83.44,-28.3038,322.88,6075
max,0,125.16,24.0532,357.84,840
max,0,46.6282,52.4586,359.68,1874
max,0,76.0776,15.5519,361.52,508
max,0,98.1647,19.8025,365.2,818
max,0,51.5365,9.95207,370.72,488
max,0,-171.788,19.8703,370.72,614
max,0,-215.962,22.8395,372.56,605
max,0,-24.5412,-19.8025,374.4,5837
max,0,-78.5318,-31.2053,374.4,6079
max,0,-166.88,11.369,381.76,321
max,0,-36.8118,-15.5519,383.6,5537
max,0,-240.504,70.8781,400.16,2228
max,0,58.8988,73.7119,409.36,2395
max,0,44.1741,36.8052,420.4,1336
max,0,93.2565,31.2053,431.44,1098
max,0,-2.45413,35.456,431.44,1298
max,0,-2.45412,100.565,433.28,3058
max,0,12.2706,100.565,438.8,3071
max,0,17.1788,100.565,440.64,3074
max,0,-17.1788,86.4639,442.48,2817
max,0,2.4541,52.4586,448,1839
max,0,7.36234,77.9626,451.68,2599
max,0,122.706,45.3065,470.08,1672
max,0,-39.2659,-39.7067,471.92,6388
max,0,-2.45413,52.4586,481.12,1834
max,0,39.2659,-39.7067,501.36,6452
max,0,-100.619,-94.9652,510.56,8099
max,0,73.6235,22.704,516.08,798
max,0,68.7153,-62.3091,519.76,7271
max,0,-71.1694,-109.066,521.6,8346
max,0,-58.8988,-87.813,523.44,7903
max,0,-7.36236,-26.9547,525.28,6136
max,0,-152.155,-138.889,540,9142
max,0,-63.8071,-39.7067,549.2,6369
max,0,-9.81648,-19.8025,554.72,5850
max,0,-171.788,-184.364,556.56,9585
max,0,58.8988,-79.3117,558.4,7760
max,0,-152.155,-121.886,560.24,8744
max,0,46.6282,-60.9599,565.76,7254
max,0,-19.6329,-22.704,567.6,5841
max,0,-132.522,-116.354,567.6,8537
max,0,-53.9906,45.3065,582.32,1528
max,0,78.5318,-82.2132,584.16,7777
max,0,76.0776,-15.5519,609.92,5628
max,0,206.146,-62.3768,609.92,7331
max,0,186.513,-164.393,611.76,9487
max,0,-71.1694,32.5545,617.28,964
max,0,132.522,-116.354,617.28,8702
max,0,-90.8024,41.0558,619.12,1227
max,0,171.788,19.8703,620.96,861
max,0,196.329,-22.8395,620.96,5986
max,0,71.1694,-69.4613,622.8,7526
max,0,196.329,-5.83687,622.8,5404
max,0,250.32,-2.86764,630.16,5415
max,0,161.972,-65.3461,635.68,7322
max,0,120.252,-7.05056,635.68,5367
max,0,171.788,2.86764,637.52,279
max,0,-49.0824,28.3038,639.36,982
max,0,4.90822,-39.7067,639.36,6425
max,0,-73.6235,121.818,639.36,3647
max,0,110.435,-49.5571,646.72,6782
max,0,147.247,11.3012,646.72,566
max,0,7.36235,-100.565,654.08,8186
max,0,98.1647,-19.8025,654.08,5938
max,0,83.44,-28.3038,655.92,6211
max,0,137.431,209.868,657.76,4762
max,0,-98.1647,-19.8025,679.84,5778
max,0,9.81647,164.393,681.68,4331
max,0,34.3576,167.362,681.68,4336
max,0,49.0824,-14.2027,681.68,5607
max,0,-12.2706,-120.469,683.52,8817
max,0,206.146,141.858,683.52,4095
max,0,44.1741,189.897,685.36,4590
max,0,46.6282,-24.0532,685.36,5896
max,0,-100.619,-9.95207,685.36,5485
max,0,98.1647,70.8104,685.36,2428
max,0,24.5412,-87.813,685.36,7970
max,0,58.8988,243.874,687.2,4998
max,0,147.247,130.387,687.2,3987
max,0,103.073,172.894,689.04,4437
max,0,53.9906,138.889,689.04,4064
max,0,-7.36236,-100.565,690.88,8175
max,0,-53.9906,-5.70141,692.72,5226
max,0,-14.7247,-116.218,694.56,8607
max,0,-147.247,28.3716,700.08,907
max,0,95.7106,86.4639,701.92,2908
max,0,-39.2659,53.8078,707.44,1805
max,0,-14.7247,-79.3117,707.44,7701
max,0,49.0823,164.393,709.28,4339
max,0,-44.1741,104.816,712.96,3247
max,0,-171.788,2.86764,714.8,20
max,0,-245.412,-62.3768,716.64,7092
max,0,-58.8988,73.7119,722.16,2299
max,0,-186.513,28.3716,736.88,899
max,0,-7.62939e-06,-87.813,738.72,7951
max,0,88.3483,-14.2027,738.72,5639
max,0,-49.0824,82.2132,740.56,2553
max,0,-56.4447,58.0584,740.56,1790
max,0,-61.3529,103.467,746.08,3233
max,0,-78.5318,-5.70141,771.84,5205
max,0,68.7153,-147.39,797.6,9281
max,0,-61.3529,83.5624,806.8,2542
max,0,-3.8147e-06,-243.874,812.32,10106
max,0,73.6235,-130.32,816,9088
max,0,44.1741,-155.891,817.84,9368
max,0,53.9906,-133.221,828.88,9071
max,0,24.5412,-201.367,834.4,9784
max,0,-29.4494,-141.858,834.4,9167
max,0,-14.7247,-206.899,841.76,9851
max,0,29.4494,-141.858,847.28,9179
max,0,122.706,-189.897,849.12,9726
max,0,-26.9953,-134.57,885.92,9006
max,0,68.7153,53.8078,893.28,1893
max,0,-9.81648,-232.403,896.96,10048
max,0,49.0824,28.3038,904.32,1062
max,0,191.421,-99.3513,920.88,8281
max,0,230.687,-121.886,920.88,8927
max,0,93.2565,-53.8078,924.56,7032
max,0,-53.9906,-133.221,941.12,8983
max,0,137.431,-96.3821,950.32,8270
max,0,-137.431,-96.3821,954,8091
max,0,-112.889,-56.7093,957.68,6865
max,0,-201.238,-150.359,959.52,9226
max,0,17.1788,-60.9599,961.36,7230
max,0,9.81648,-19.8025,965.04,5866
max,0,117.798,53.8078,968.72,1933
max,0,31.9035,-69.4613,970.56,7494
max,0,17.1788,-41.0558,972.4,6435
max,0,-171.788,-116.354,974.24,8529
max,0,-95.7106,94.9652,976.08,2982
max,0,-56.4447,-128.97,979.76,8981
max,0,-112.889,-206.899,981.6,9831
max,0,-152.155,189.897,990.8,4550
max,0,-142.339,82.3487,992.64,2496
max,0,-127.614,130.387,996.32,3832
max,0,-95.7106,86.4639,1003.68,2753
max,0,-147.247,90.85,1005.52,2736
max,0,-29.4494,181.395,1007.36,4494
max,0,-186.513,96.3821,1011.04,2961
max,0,-24.5412,240.904,1012.88,4981
max,0,-41.72,117.568,1014.72,3465
max,0,-22.0871,120.469,1016.56,3689
max,0,-68.7153,-121.818,1016.56,8772
max,0,-211.054,133.357,1018.4,3815
max,0,68.7153,99.2159,1027.6,3117
max,0,-12.2706,-1.45075,1033.12,5259
max,0,-34.3576,167.362,1034.96,4322
max,0,53.9906,73.7119,1034.96,2392
max,1,14.7247,-19.8025,221.68,5869
max,1,17.1788,-18.4534,223.52,5871
max,1,24.5412,-36.8052,227.2,6440
max,1,51.5365,-58.0584,229.04,6998
max,1,14.7247,-14.2027,229.04,5578
max,1,36.8118,-43.9573,243.76,6722
max,1,39.2659,-45.3065,264,6723
max,1,17.1788,-24.0532,267.68,5872
max,1,39.2659,-36.8052,267.68,6453
max,1,39.2659,-39.7067,269.52,6452
max,1,44.1741,-39.7067,269.52,6457
max,1,12.2706,-15.5519,289.76,5577
max,1,41.72,-35.456,289.76,6455
max,1,36.8118,-35.456,289.76,6450
max,1,41.72,-41.0558,289.76,6454
max,1,12.2706,-18.4534,291.6,5868
max,1,34.3577,-45.3065,291.6,6720
max,1,22.0871,-32.5545,291.6,6161
max,1,14.7247,-22.704,291.6,5870
max,1,2.45413,-18.4534,337.6,5860
max,1,2.45413,-32.5545,337.6,6145
max,1,9.81648,-19.8025,339.44,5866
max,1,2.4541,-35.456,368.88,6423
max,1,9.81648,-22.704,390.96,5865
max,1,-17.1788,86.4639,556.56,2817
max,1,51.5365,9.95207,586,488
max,1,122.706,45.3065,595.2,1672
max,1,7.36234,77.9626,595.2,2599
max,1,-2.45413,35.456,595.2,1298
max,1,98.1647,19.8025,598.88,818
max,1,-2.45413,52.4586,598.88,1834
max,1,2.4541,52.4586,602.56,1839
max,1,49.0824,28.3038,606.24,1062
max,1,73.6235,22.704,609.92,798
max,1,17.1788,100.565,611.76,3074
max,1,76.0776,15.5519,613.6,508
max,1,-2.45412,100.565,615.44,3058
max,1,12.2706,100.565,615.44,3071
max,1,125.16,24.0532,624.64,840
max,1,93.2565,31.2053,646.72,1098
max,1,49.0824,82.2132,679.84,2633
max,1,-9.81648,-19.8025,679.84,5850
max,1,53.9906,73.7119,683.52,2392
max,1,68.7153,99.2159,687.2,3117
max,1,-100.619,-94.9652,687.2,8099
max,1,-19.6329,-22.704,687.2,5841
max,1,-39.2659,-39.7067,690.88,6388
max,1,58.8988,-79.3117,694.56,7760
max,1,-58.8988,-87.813,698.24,7903
max,1,-63.8071,-39.7067,698.24,6369
max,1,68.7153,-62.3091,700.08,7271
max,1,-71.1694,-109.066,700.08,8346
max,1,-49.0824,164.393,709.28,4319
max,1,46.6282,-60.9599,709.28,7254
max,1,-49.0824,28.3038,711.12,982
max,1,44.1741,-155.891,714.8,9368
max,1,-7.36236,-26.9547,716.64,6136
max,1,220.871,70.8781,718.48,2463
max,1,-90.8024,41.0558,720.32,1227
max,1,-53.9906,45.3065,722.16,1528
max,1,191.421,-99.3513,733.2,8281
max,1,-26.9953,-134.57,735.04,9006
max,1,68.7153,53.8078,736.88,1893
max,1,-36.8118,-15.5519,736.88,5537
max,1,49.0824,-14.2027,736.88,5607
max,1,-7.36236,-100.565,738.72,8175
max,1,73.6235,-130.32,738.72,9088
max,1,17.1788,-41.0558,738.72,6435
max,1,191.421,104.883,738.72,3381
max,1,-24.5412,-19.8025,740.56,5837
max,1,230.687,-121.886,740.56,8927
max,1,-14.7247,-206.899,742.4,9851
max,1,147.247,90.85,742.4,2925
max,1,93.2565,-53.8078,744.24,7032
max,1,-171.788,-184.364,746.08,9585
max,1,206.146,-62.3768,746.08,7331
max,1,-51.5365,9.95207,746.08,405
max,1,68.7153,-147.39,747.92,9281
max,1,137.431,-96.3821,747.92,8270
max,1,24.5412,-201.367,747.92,9784
max,1,-78.5318,215.4,747.92,4788
max,1,-240.504,70.8781,747.92,2228
max,1,-88.3482,11.3012,749.76,374
max,1,-166.88,11.369,749.76,321
max,1,-152.155,-138.889,751.6,9142
max,1,196.329,-22.8395,751.6,5986
max,1,-132.522,-116.354,753.44,8537
max,1,-83.44,-28.3038,753.44,6075
max,1,117.798,53.8078,753.44,1933
max,1,-171.788,19.8703,753.44,614
max,1,-103.073,28.3038,755.28,939
max,1,-152.155,-121.886,755.28,8744
max,1,29.4494,-141.858,755.28,9179
max,1,7.36235,-100.565,755.28,8186
max,1,31.9035,-69.4613,757.12,7494
max,1,-12.2706,-1.45075,757.12,5259
max,1,58.8988,73.7119,758.96,2395
max,1,-215.962,22.8395,758.96,605
max,1,-41.72,117.568,758.96,3465
max,1,122.706,-189.897,760.8,9726
max,1,44.1741,36.8052,764.48,1336
max,1,-78.5318,-31.2053,764.48,6079
max,1,46.6282,52.4586,766.32,1874
max,1,147.247,11.3012,768.16,566
max,1,171.788,2.86764,770,279
max,1,-29.4494,-141.858,771.84,9167
max,1,53.9906,-133.221,771.84,9071
max,1,-3.8147e-06,-243.874,773.68,10106
max,1,4.90822,-39.7067,775.52,6425
max,1,132.522,-116.354,777.36,8702
max,1,196.329,-5.83687,777.36,5404
max,1,250.32,-2.86764,777.36,5415
max,1,186.513,-164.393,777.36,9487
max,1,78.5318,-82.2132,777.36,7777
max,1,-49.0824,158.861,784.72,4229
max,1,-71.1694,32.5545,786.56,964
max,1,161.972,-65.3461,801.28,7322
max,1,71.1694,-69.4613,803.12,7526
max,1,-14.7247,-116.218,804.96,8607
max,1,-12.2706,-120.469,804.96,8817
max,1,110.435,-49.5571,804.96,6782
max,1,46.6282,-24.0532,808.64,5896
max,1,98.1647,-19.8025,808.64,5938
max,1,-7.62939e-06,-87.813,808.64,7951
max,1,137.431,209.868,810.48,4762
max,1,103.073,172.894,810.48,4437
max,1,-9.81648,-232.403,810.48,10048
max,1,147.247,130.387,810.48,3987
max,1,76.0776,-15.5519,812.32,5628
max,1,120.252,-7.05056,816,5367
max,1,-245.412,-62.3768,819.68,7092
max,1,-14.7247,-79.3117,821.52,7701
max,1,171.788,19.8703,825.2,861
max,1,83.44,-28.3038,828.88,6211
max,1,49.0823,164.393,838.08,4339
max,1,-49.0824,82.2132,841.76,2553
max,1,88.3483,-14.2027,841.76,5639
max,1,58.8988,243.874,843.6,4998
max,1,53.9906,138.889,843.6,4064
max,1,17.1788,-60.9599,847.28,7230
max,1,9.81647,164.393,850.96,4331
max,1,24.5412,-87.813,856.48,7970
max,1,44.1741,189.897,856.48,4590
max,1,34.3576,167.362,858.32,4336
max,1,-186.513,28.3716,858.32,899
max,1,95.7106,86.4639,865.68,2908
max,1,98.1647,70.8104,865.68,2428
max,1,206.146,141.858,865.68,4095
max,1,-147.247,28.3716,874.88,907
max,1,-44.1741,104.816,882.24,3247
max,1,-39.2659,53.8078,885.92,1805
max,1,-58.8988,73.7119,885.92,2299
max,1,-61.3529,83.5624,885.92,2542
max,1,-73.6235,121.818,885.92,3647
max,1,-56.4447,58.0584,889.6,1790
max,1,-98.1647,-19.8025,895.12,5778
max,1,-61.3529,103.467,895.12,3233
max,1,-171.788,2.86764,896.96,20
max,1,-100.619,-9.95207,909.84,5485
max,1,-53.9906,-5.70141,919.04,5226
max,1,-78.5318,-5.70141,961.36,5205
max,1,-95.7106,94.9652,996.32,2982
max,1,-68.7153,-121.818,998.16,8772
max,1,-127.614,130.387,1018.4,3832
max,1,-112.889,-56.7093,1022.08,6865
max,1,-186.513,96.3821,1025.76,2961
max,1,-56.4447,-128.97,1031.28,8981
max,1,-95.7106,86.4639,1034.96,2753
max,2,98.1647,19.8025,311.84,818
max,2,73.6235,-130.32,330.24,9088
max,2,-41.72,117.568,332.08,3465
max,2,-2.45412,100.565,333.92,3058
max,2,220.871,70.8781,333.92,2463
max,2,-78.5318,215.4,341.28,4788
max,2,53.9906,-133.221,343.12,9071
max,2,-171.788,-184.364,346.8,9585
max,2,-240.504,70.8781,348.64,2228
max,2,125.16,24.0532,354.16,840
max,2,-132.522,-116.354,354.16,8537
max,2,44.1741,-155.891,356,9368
max,2,53.9906,73.7119,357.84,2392
max,2,76.0776,15.5519,357.84,508
max,2,17.1788,-41.0558,359.68,6435
max,2,31.9035,-69.4613,359.68,7494
max,2,-152.155,-138.889,361.52,9142
max,2,51.5365,9.95207,361.52,488
max,2,-7.36236,-100.565,361.52,8175
max,2,-12.2706,-120.469,363.36,8817
max,2,-14.7247,-206.899,365.2,9851
max,2,-103.073,28.3038,367.04,939
max,2,-51.5365,9.95207,367.04,405
max,2,-215.962,22.8395,367.04,605
max,2,230.687,-121.886,367.04,8927
max,2,-83.44,-28.3038,370.72,6075
max,2,-14.7247,-79.3117,370.72,7701
max,2,58.8988,73.7119,370.72,2395
max,2,49.0824,82.2132,370.72,2633
max,2,191.421,-99.3513,370.72,8281
max,2,-12.2706,-1.45075,370.72,5259
max,2,137.431,-96.3821,370.72,8270
max,2,9.81648,-19.8025,372.56,5866
max,2,-78.5318,-31.2053,372.56,6079
max,2,191.421,104.883,372.56,3381
max,2,117.798,53.8078,372.56,1933
max,2,-88.3482,11.3012,372.56,374
max,2,122.706,-189.897,372.56,9726
