CATIMA dE/dx table for genfit  (A=3 Z=1 in matA=2)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.01 MeV 0.603044 0 1.9156 mm 0.0349589 mm 0 mm
0.0101463 MeV 0.604877 0 1.95206 mm 0.0354016 mm 0 mm
0.0102947 MeV 0.606719 0 1.98894 mm 0.0358477 mm 0 mm
0.0104453 MeV 0.608575 0 2.02624 mm 0.036297 mm 0 mm
0.0105981 MeV 0.610439 0 2.06397 mm 0.0367497 mm 0 mm
0.0107532 MeV 0.612315 0 2.10214 mm 0.0372059 mm 0 mm
0.0109105 MeV 0.614199 0 2.14075 mm 0.0376654 mm 0 mm
0.0110701 MeV 0.616094 0 2.1798 mm 0.0381285 mm 0 mm
0.0112321 MeV 0.618001 0 2.21931 mm 0.0385951 mm 0 mm
0.0113964 MeV 0.619917 0 2.25926 mm 0.0390653 mm 0 mm
0.0115631 MeV 0.621842 0 2.29968 mm 0.039539 mm 0 mm
0.0117323 MeV 0.623781 0 2.34056 mm 0.0400165 mm 0 mm
0.0119039 MeV 0.625728 0 2.38191 mm 0.0404977 mm 0 mm
0.012078 MeV 0.627687 0 2.42373 mm 0.0409826 mm 0 mm
0.0122547 MeV 0.629655 0 2.46603 mm 0.0414712 mm 0 mm
0.012434 MeV 0.631633 0 2.50882 mm 0.0419638 mm 0 mm
0.0126159 MeV 0.633623 0 2.55209 mm 0.0424602 mm 0 mm
0.0128005 MeV 0.635622 0 2.59586 mm 0.0429605 mm 0 mm
0.0129877 MeV 0.637631 0 2.64014 mm 0.0434648 mm 0 mm
0.0131777 MeV 0.639653 0 2.68491 mm 0.0439731 mm 0 mm
0.0133705 MeV 0.641684 0 2.7302 mm 0.0444854 mm 0 mm
0.0135661 MeV 0.643727 0 2.77601 mm 0.0450019 mm 0 mm
0.0137646 MeV 0.645778 0 2.82234 mm 0.0455224 mm 0 mm
0.013966 MeV 0.64784 0 2.86919 mm 0.0460472 mm 0 mm
0.0141703 MeV 0.649914 0 2.91658 mm 0.0465762 mm 0 mm
0.0143776 MeV 0.651997 0 2.96451 mm 0.0471095 mm 0 mm
0.0145879 MeV 0.654093 0 3.01299 mm 0.0476471 mm 0 mm
0.0148013 MeV 0.656197 0 3.06202 mm 0.048189 mm 0 mm
0.0150179 MeV 0.658311 0 3.1116 mm 0.0487354 mm 0 mm
0.0152376 MeV 0.660439 0 3.16175 mm 0.0492862 mm 0 mm
0.0154605 MeV 0.662574 0 3.21247 mm 0.0498416 mm 0 mm
0.0156867 MeV 0.66472 0 3.26377 mm 0.0504014 mm 0 mm
0.0159161 MeV 0.66688 0 3.31564 mm 0.0509659 mm 0 mm
0.016149 MeV 0.669047 0 3.36811 mm 0.051535 mm 0 mm
0.0163852 MeV 0.671228 0 3.42117 mm 0.0521089 mm 0 mm
0.0166249 MeV 0.673416 0 3.47483 mm 0.0526874 mm 0 mm
0.0168682 MeV 0.675616 0 3.5291 mm 0.0532708 mm 0 mm
0.0171149 MeV 0.677828 0 3.58398 mm 0.053859 mm 0 mm
0.0173653 MeV 0.680049 0 3.63949 mm 0.054452 mm 0 mm
0.0176193 MeV 0.68228 0 3.69562 mm 0.05505 mm 0 mm
0.0178771 MeV 0.684525 0 3.75239 mm 0.055653 mm 0 mm
0.0181386 MeV 0.686778 0 3.80979 mm 0.056261 mm 0 mm
0.018404 MeV 0.689044 0 3.86785 mm 0.0568741 mm 0 mm
0.0186732 MeV 0.691319 0 3.92657 mm 0.0574924 mm 0 mm
0.0189464 MeV 0.693604 0 3.98594 mm 0.0581158 mm 0 mm
0.0192236 MeV 0.695902 0 4.04599 mm 0.0587445 mm 0 mm
0.0195048 MeV 0.698209 0 4.10671 mm 0.0593784 mm 0 mm
0.0197902 MeV 0.700526 0 4.16812 mm 0.0600177 mm 0 mm
0.0200797 MeV 0.702858 0 4.23022 mm 0.0606624 mm 0 mm
0.0203734 MeV 0.705197 0 4.29302 mm 0.0613125 mm 0 mm
0.0206715 MeV 0.70755 0 4.35652 mm 0.0619681 mm 0 mm
0.0209739 MeV 0.709911 0 4.42074 mm 0.0626293 mm 0 mm
0.0212807 MeV 0.712283 0 4.48569 mm 0.063296 mm 0 mm
0.021592 MeV 0.714668 0 4.55136 mm 0.0639685 mm 0 mm
0.0219079 MeV 0.717062 0 4.61777 mm 0.0646466 mm 0 mm
0.0222284 MeV 0.719466 0 4.68493 mm 0.0653305 mm 0 mm
0.0225536 MeV 0.721885 0 4.75284 mm 0.0660202 mm 0 mm
0.0228836 MeV 0.724312 0 4.82152 mm 0.0667159 mm 0 mm
0.0232183 MeV 0.726752 0 4.89097 mm 0.0674174 mm 0 mm
0.023558 MeV 0.729201 0 4.96119 mm 0.068125 mm 0 mm
0.0239026 MeV 0.73166 0 5.03221 mm 0.0688385 mm 0 mm
0.0242523 MeV 0.734134 0 5.10402 mm 0.0695583 mm 0 mm
0.0246071 MeV 0.736616 0 5.17663 mm 0.0702841 mm 0 mm
0.0249671 MeV 0.739109 0 5.25006 mm 0.0710162 mm 0 mm
0.0253324 MeV 0.741616 0 5.32431 mm 0.0717546 mm 0 mm
0.025703 MeV 0.744131 0 5.3994 mm 0.0724993 mm 0 mm
0.026079 MeV 0.746661 0 5.47532 mm 0.0732504 mm 0 mm
0.0264605 MeV 0.749198 0 5.5521 mm 0.074008 mm 0 mm
0.0268476 MeV 0.751747 0 5.62973 mm 0.0747722 mm 0 mm
0.0272404 MeV 0.75431 0 5.70823 mm 0.0755429 mm 0 mm
0.0276389 MeV 0.756881 0 5.78761 mm 0.0763202 mm 0 mm
0.0280432 MeV 0.759467 0 5.86788 mm 0.0771043 mm 0 mm
0.0284535 MeV 0.76206 0 5.94904 mm 0.0778951 mm 0 mm
0.0288697 MeV 0.764665 0 6.03111 mm 0.0786928 mm 0 mm
0.0292921 MeV 0.767285 0 6.1141 mm 0.0794974 mm 0 mm
0.0297206 MeV 0.769913 0 6.19802 mm 0.080309 mm 0 mm
0.0301554 MeV 0.772551 0 6.28287 mm 0.0811276 mm 0 mm
0.0305965 MeV 0.775205 0 6.36866 mm 0.0819533 mm 0 mm
0.0310441 MeV 0.777867 0 6.45542 mm 0.0827862 mm 0 mm
0.0314983 MeV 0.780544 0 6.54314 mm 0.0836263 mm 0 mm
0.0319591 MeV 0.783229 0 6.63184 mm 0.0844737 mm 0 mm
0.0324266 MeV 0.785925 0 6.72153 mm 0.0853285 mm 0 mm
0.032901 MeV 0.788636 0 6.81222 mm 0.0861907 mm 0 mm
0.0333823 MeV 0.791355 0 6.90392 mm 0.0870604 mm 0 mm
0.0338707 MeV 0.794086 0 6.99665 mm 0.0879377 mm 0 mm
0.0343662 MeV 0.796832 0 7.0904 mm 0.0888227 mm 0 mm
0.034869 MeV 0.799586 0 7.1852 mm 0.0897154 mm 0 mm
0.0353791 MeV 0.802355 0 7.28105 mm 0.0906158 mm 0 mm
0.0358967 MeV 0.805133 0 7.37797 mm 0.0915242 mm 0 mm
0.0364218 MeV 0.807922 0 7.47597 mm 0.0924405 mm 0 mm
0.0369546 MeV 0.810726 0 7.57506 mm 0.0933648 mm 0 mm
0.0374952 MeV 0.813538 0 7.67525 mm 0.0942972 mm 0 mm
0.0380438 MeV 0.816362 0 7.77655 mm 0.0952377 mm 0 mm
0.0386003 MeV 0.819202 0 7.87899 mm 0.0961865 mm 0 mm
0.039165 MeV 0.82205 0 7.98255 mm 0.0971436 mm 0 mm
0.039738 MeV 0.824914 0 8.08727 mm 0.0981091 mm 0 mm
0.0403193 MeV 0.827785 0 8.19316 mm 0.0990831 mm 0 mm
0.0409092 MeV 0.830668 0 8.30022 mm 0.100066 mm 0 mm
0.0415077 MeV 0.833567 0 8.40847 mm 0.101057 mm 0 mm
0.0421149 MeV 0.836475 0 8.51792 mm 0.102057 mm 0 mm
0.042731 MeV 0.839394 0 8.62858 mm 0.103065 mm 0 mm
0.0433561 MeV 0.842329 0 8.74047 mm 0.104083 mm 0 mm
0.0439904 MeV 0.845273 0 8.85361 mm 0.105109 mm 0 mm
0.044634 MeV 0.848232 0 8.968 mm 0.106145 mm 0 mm
0.0452869 MeV 0.851199 0 9.08366 mm 0.107189 mm 0 mm
0.0459494 MeV 0.854179 0 9.2006 mm 0.108243 mm 0 mm
0.0466217 MeV 0.857175 0 9.31884 mm 0.109306 mm 0 mm
0.0473037 MeV 0.860179 0 9.43838 mm 0.110379 mm 0 mm
0.0479957 MeV 0.863195 0 9.55926 mm 0.111461 mm 0 mm
0.0486979 MeV 0.866227 0 9.68147 mm 0.112552 mm 0 mm
0.0494103 MeV 0.869268 0 9.80504 mm 0.113653 mm 0 mm
0.0501331 MeV 0.872325 0 9.92997 mm 0.114764 mm 0 mm
0.0508666 MeV 0.875391 0 10.0563 mm 0.115885 mm 0 mm
0.0516107 MeV 0.878468 0 10.184 mm 0.117016 mm 0 mm
0.0523657 MeV 0.881562 0 10.3131 mm 0.118156 mm 0 mm
0.0531318 MeV 0.884665 0 10.4437 mm 0.119307 mm 0 mm
0.0539091 MeV 0.887785 0 10.5757 mm 0.120468 mm 0 mm
0.0546977 MeV 0.890912 0 10.7092 mm 0.121639 mm 0 mm
0.0554979 MeV 0.894052 0 10.8441 mm 0.12282 mm 0 mm
0.0563098 MeV 0.897209 0 10.9806 mm 0.124012 mm 0 mm
0.0571336 MeV 0.900374 0 11.1185 mm 0.125215 mm 0 mm
0.0579694 MeV 0.903552 0 11.258 mm 0.126428 mm 0 mm
0.0588175 MeV 0.906747 0 11.399 mm 0.127652 mm 0 mm
0.059678 MeV 0.90995 0 11.5416 mm 0.128887 mm 0 mm
0.060551 MeV 0.913171 0 11.6857 mm 0.130133 mm 0 mm
0.0614368 MeV 0.9164 0 11.8315 mm 0.13139 mm 0 mm
0.0623356 MeV 0.919641 0 11.9788 mm 0.132658 mm 0 mm
0.0632476 MeV 0.922898 0 12.1278 mm 0.133937 mm 0 mm
0.0641728 MeV 0.926167 0 12.2784 mm 0.135228 mm 0 mm
0.0651116 MeV 0.92945 0 12.4307 mm 0.13653 mm 0 mm
0.0660642 MeV 0.932751 0 12.5847 mm 0.137843 mm 0 mm
0.0670307 MeV 0.936049 0 12.7404 mm 0.139169 mm 0 mm
0.0680113 MeV 0.939353 0 12.8978 mm 0.140506 mm 0 mm
0.0690062 MeV 0.942689 0 13.0569 mm 0.141855 mm 0 mm
0.0700158 MeV 0.946081 0 13.2178 mm 0.143216 mm 0 mm
0.07104 MeV 0.949515 0 13.3804 mm 0.144589 mm 0 mm
0.0720793 MeV 0.952812 0 13.5449 mm 0.145974 mm 0 mm
0.0731338 MeV 0.955944 0 13.7112 mm 0.147373 mm 0 mm
0.0742037 MeV 0.959256 0 13.8793 mm 0.148784 mm 0 mm
0.0752892 MeV 0.963465 0 14.0493 mm 0.150207 mm 0 mm
0.0763907 MeV 0.96856 0 14.2209 mm 0.151637 mm 0 mm
0.0775082 MeV 0.974068 0 14.3941 mm 0.153071 mm 0 mm
0.0786421 MeV 0.979687 0 14.5688 mm 0.154509 mm 0 mm
0.0797926 MeV 0.98541 0 14.745 mm 0.155951 mm 0 mm
0.0809599 MeV 0.991117 0 14.9228 mm 0.157395 mm 0 mm
0.0821443 MeV 0.9968 0 15.1022 mm 0.158844 mm 0 mm
0.083346 MeV 1.00249 0 15.2831 mm 0.160296 mm 0 mm
0.0845653 MeV 1.00817 0 15.4656 mm 0.161753 mm 0 mm
0.0858025 MeV 1.01388 0 15.6498 mm 0.163215 mm 0 mm
0.0870577 MeV 1.01958 0 15.8356 mm 0.164681 mm 0 mm
0.0883313 MeV 1.02529 0 16.0231 mm 0.166152 mm 0 mm
0.0896235 MeV 1.031 0 16.2123 mm 0.167628 mm 0 mm
0.0909347 MeV 1.0367 0 16.4031 mm 0.169109 mm 0 mm
0.092265 MeV 1.04239 0 16.5957 mm 0.170596 mm 0 mm
0.0936148 MeV 1.0481 0 16.7901 mm 0.172089 mm 0 mm
0.0949843 MeV 1.05379 0 16.9862 mm 0.173588 mm 0 mm
0.0963739 MeV 1.05949 0 17.1842 mm 0.175093 mm 0 mm
0.0977837 MeV 1.06517 0 17.3839 mm 0.176605 mm 0 mm
0.0992143 MeV 1.07084 0 17.5855 mm 0.178123 mm 0 mm
0.100666 MeV 1.07651 0 17.789 mm 0.179649 mm 0 mm
0.102138 MeV 1.08217 0 17.9943 mm 0.181181 mm 0 mm
0.103633 MeV 1.08782 0 18.2016 mm 0.182722 mm 0 mm
0.105149 MeV 1.09344 0 18.4108 mm 0.18427 mm 0 mm
0.106687 MeV 1.09905 0 18.622 mm 0.185826 mm 0 mm
0.108248 MeV 1.10466 0 18.8352 mm 0.187391 mm 0 mm
0.109831 MeV 1.11023 0 19.0504 mm 0.188964 mm 0 mm
0.111438 MeV 1.11579 0 19.2677 mm 0.190546 mm 0 mm
0.113068 MeV 1.12134 0 19.487 mm 0.192137 mm 0 mm
0.114722 MeV 1.12685 0 19.7085 mm 0.193738 mm 0 mm
0.116401 MeV 1.13235 0 19.9321 mm 0.195348 mm 0 mm
0.118104 MeV 1.13781 0 20.1579 mm 0.196969 mm 0 mm
0.119831 MeV 1.14324 0 20.3859 mm 0.1986 mm 0 mm
0.121584 MeV 1.14865 0 20.6162 mm 0.200242 mm 0 mm
0.123363 MeV 1.15402 0 20.8487 mm 0.201895 mm 0 mm
0.125168 MeV 1.15936 0 21.0835 mm 0.203559 mm 0 mm
0.126999 MeV 1.16467 0 21.3207 mm 0.205235 mm 0 mm
0.128857 MeV 1.16993 0 21.5603 mm 0.206924 mm 0 mm
0.130742 MeV 1.17516 0 21.8022 mm 0.208625 mm 0 mm
0.132655 MeV 1.18034 0 22.0467 mm 0.210339 mm 0 mm
0.134595 MeV 1.18548 0 22.2936 mm 0.212066 mm 0 mm
0.136564 MeV 1.19058 0 22.543 mm 0.213807 mm 0 mm
0.138562 MeV 1.19562 0 22.795 mm 0.215562 mm 0 mm
0.140589 MeV 1.20061 0 23.0497 mm 0.217332 mm 0 mm
