   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  0.0000E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  5.3156E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  5.5572E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  5.8358E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  6.1260E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  6.4171E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  6.7045E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  6.9862E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  7.2613E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  7.5295E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  7.5295E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  8.7181E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  9.5447E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  1.0365E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  1.1178E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  1.2237E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  1.3260E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  1.4240E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  1.5175E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  1.6065E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  1.6911E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  1.7712E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
