   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  1.9797E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  2.5741E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  3.0034E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  3.3394E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  3.6186E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  3.8605E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  4.0768E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  4.3135E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  4.5751E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.8162E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.8162E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  5.7854E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  6.4616E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  6.9216E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  7.2136E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  7.3746E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  7.4352E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  7.4203E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  7.3500E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  7.2403E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  7.1034E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  6.9488E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
