   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  2.3210E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  2.6420E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  2.9780E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  3.2948E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  3.5876E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  3.8646E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  4.1265E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  4.3008E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  4.4590E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.6135E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.6135E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  5.3487E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  6.2757E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  7.1040E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  7.8353E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  8.4741E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  9.0259E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  9.4963E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  9.8919E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  1.0220E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  1.0486E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  1.0698E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
