   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  1.8024E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  2.3129E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  2.7007E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  3.0105E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  3.2688E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  3.4917E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  3.6892E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  3.8678E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  4.0319E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.1874E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  4.1874E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  5.1041E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  5.7969E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  6.3259E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  6.7250E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  7.0169E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  7.2198E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  7.3491E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  7.4180E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  7.4379E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  7.4185E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  7.3682E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
