   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  1.3426E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  1.5588E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  1.7110E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  1.8310E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  1.9315E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  2.0708E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  2.1906E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  2.2917E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  2.3768E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.4479E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.4479E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  2.6420E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  2.6588E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  2.5809E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  2.4575E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  2.3171E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  2.1752E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  2.0397E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  1.9141E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  1.7996E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  1.6961E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  1.6028E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
