   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  1.5563E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  1.8297E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  2.0697E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  2.2908E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  2.4471E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  2.5534E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  2.6203E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  2.6559E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  2.6669E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.6587E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.6587E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  2.4577E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  2.1756E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  1.9147E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  1.6966E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  1.5193E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  1.3754E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  1.2574E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  1.1596E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  1.0773E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  1.0072E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  9.4680E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
