   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
     0.010 MeV  1.2442E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.020 MeV  1.4275E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.030 MeV  1.5602E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.040 MeV  1.6660E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.050 MeV  1.7549E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.060 MeV  1.8321E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.070 MeV  1.9007E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.080 MeV  1.9806E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.090 MeV  2.0723E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.1543E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.100 MeV  2.1543E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.150 MeV  2.4490E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.200 MeV  2.6031E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.250 MeV  2.6627E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.300 MeV  2.6587E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.350 MeV  2.6133E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.400 MeV  2.5422E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.450 MeV  2.4564E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.500 MeV  2.3633E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.550 MeV  2.2680E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.600 MeV  2.1736E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
     0.650 MeV  2.0823E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
